activity,technology,uniquename
Design Sessions,Microsoft Azure - Storage,fabsanc
Design Sessions,Microsoft Azure - Web & Mobile,fabsanc
Design Sessions,SQL Server,fabsanc
Coding - Internal Solution,Machine Learning,fabsanc
Coding - Internal Solution,Microsoft Azure - Web & Mobile,fabsanc
Customer Engagements,Microsoft Azure - Infra,fabsanc
Customer Engagements,Microsoft Azure - Storage,fabsanc
Customer Engagements,Microsoft Azure - Web & Mobile,fabsanc
Coding - Build with ISVs,Microsoft Azure - Active Directory,altargin
Coding - Build with ISVs,Microsoft Azure - IoT,altargin
Coding - Build with ISVs,Microsoft Azure - Storage,altargin
Coding - Build with ISVs,Microsoft Azure - Web & Mobile,altargin
Assessment Meeting,Microsoft Azure - Analytics,fabsanc
Assessment Meeting,Microsoft Azure - Client-side Tech,fabsanc
Assessment Meeting,Microsoft Azure - Development Frameworks,fabsanc
Assessment Meeting,Microsoft Azure - Infra,fabsanc
Assessment Meeting,Microsoft Azure - Storage,fabsanc
Assessment Meeting,Microsoft Azure - Web & Mobile,fabsanc
POC,Microsoft Azure - Infra,fabsanc
POC,Microsoft Azure - Storage,fabsanc
POC,Microsoft Azure - Web & Mobile,fabsanc
Preparation Presentation,Office 365,altargin
Assessment Meeting,Not Applyable,fabsanc
ROB,Not Applyable,altargin
Assessment Meeting,Not Applyable,fabsanc
Customer Engagements,Microsoft Azure - Infra,fabsanc
Customer Engagements,Microsoft Azure - Storage,fabsanc
Customer Engagements,Microsoft Azure - Web & Mobile,fabsanc
Meetups - Organization,Not Applyable,cyzanon
Hackatons,Bot Framework,visouza
Hackatons,Cognitive Services,visouza
Hackatons,Machine Learning,visouza
Hackatons,Microsoft Azure - Analytics,visouza
Hackatons,Microsoft Azure - Client-side Tech,visouza
Hackatons,Microsoft Azure - Development Frameworks,visouza
Hackatons,Microsoft Azure - Infra,visouza
Hackatons,Microsoft Azure - IoT,visouza
ROB,Microsoft Azure - Active Directory,altargin
ROB,Microsoft Azure - Analytics,altargin
ROB,Microsoft Azure - Client-side Tech,altargin
ROB,Microsoft Azure - Development Frameworks,altargin
ROB,Microsoft Azure - Infra,altargin
ROB,Microsoft Azure - IoT,altargin
ROB,Microsoft Azure - Storage,altargin
ROB,Microsoft Azure - Web & Mobile,altargin
Events - Content Delivery,Microsoft Azure - Infra,fabioh
Events - Content Delivery,Operations Management Suite (OMS),fabioh
Events - Content Delivery,System Center,fabioh
Events - Content Delivery,Windows Server,fabioh
Design Sessions,Microsoft Azure - Web & Mobile,visouza
ROB,Microsoft Azure - Active Directory,fabsanc
ROB,Microsoft Azure - Analytics,fabsanc
ROB,Microsoft Azure - Client-side Tech,fabsanc
ROB,Microsoft Azure - Development Frameworks,fabsanc
ROB,Microsoft Azure - Infra,fabsanc
ROB,Microsoft Azure - IoT,fabsanc
ROB,Microsoft Azure - Storage,fabsanc
ROB,Microsoft Azure - Web & Mobile,fabsanc
External Communication,Microsoft Azure - Infra,fabsanc
Metric Management,Microsoft Azure - Analytics,fabsanc
Metric Management,Microsoft Azure - Client-side Tech,fabsanc
Metric Management,Microsoft Azure - Development Frameworks,fabsanc
Metric Management,Microsoft Azure - Infra,fabsanc
Metric Management,Microsoft Azure - Storage,fabsanc
Metric Management,Microsoft Azure - Web & Mobile,fabsanc
Coding - Technical Material Preparation,Microsoft Azure - Active Directory,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Analytics,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Client-side Tech,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Development Frameworks,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Infra,fabioh
Coding - Technical Material Preparation,Microsoft Azure - IoT,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Storage,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Web & Mobile,fabioh
POC,Microsoft Azure - Infra,fabioh
POC,Microsoft Azure - Storage,fabioh
POC,Microsoft Azure - Web & Mobile,fabioh
Preparation Presentation,Office 365,altargin
Customer Engagements,Microsoft Azure - Client-side Tech,fabioh
Customer Engagements,Microsoft Azure - Development Frameworks,fabioh
Customer Engagements,Microsoft Azure - Infra,fabioh
Customer Engagements,Microsoft Azure - Storage,fabioh
Customer Engagements,Microsoft Azure - Web & Mobile,fabioh
Customer Engagements,Windows Server,fabioh
POC,Microsoft Azure - Analytics,visouza
POC,Microsoft Azure - Infra,visouza
POC,Microsoft Azure - Storage,visouza
POC,Microsoft Azure - Web & Mobile,visouza
POC,SQL Server,visouza
Preparation Presentation,Microsoft Azure - Active Directory,visouza
Preparation Presentation,Microsoft Azure - Analytics,visouza
Preparation Presentation,Microsoft Azure - Client-side Tech,visouza
Preparation Presentation,Microsoft Azure - Development Frameworks,visouza
Preparation Presentation,Microsoft Azure - Infra,visouza
Preparation Presentation,Microsoft Azure - IoT,visouza
Preparation Presentation,Microsoft Azure - Storage,visouza
Preparation Presentation,Microsoft Azure - Web & Mobile,visouza
Events - Content Delivery,Microsoft Azure - Active Directory,fabsanc
Events - Content Delivery,Microsoft Azure - Analytics,fabsanc
Events - Content Delivery,Microsoft Azure - Client-side Tech,fabsanc
Events - Content Delivery,Microsoft Azure - Development Frameworks,fabsanc
Events - Content Delivery,Microsoft Azure - Infra,fabsanc
Events - Content Delivery,Microsoft Azure - IoT,fabsanc
Events - Content Delivery,Microsoft Azure - Storage,fabsanc
Events - Content Delivery,Microsoft Azure - Web & Mobile,fabsanc
Presentation,Microsoft Azure - Infra,fabsanc
Presentation,Microsoft Azure - Storage,fabsanc
Presentation,Microsoft Azure - Web & Mobile,fabsanc
POC,Microsoft Azure - Infra,fabioh
POC,SQL Server,fabioh
Webinars,Machine Learning,altargin
Events - Organization,Microsoft Azure - Active Directory,fabsanc
Events - Organization,Microsoft Azure - Analytics,fabsanc
Events - Organization,Microsoft Azure - Client-side Tech,fabsanc
Events - Organization,Microsoft Azure - Development Frameworks,fabsanc
Events - Organization,Microsoft Azure - Infra,fabsanc
Events - Organization,Microsoft Azure - IoT,fabsanc
Events - Organization,Microsoft Azure - Storage,fabsanc
Events - Organization,Microsoft Azure - Web & Mobile,fabsanc
POC,Microsoft Azure - Analytics,visouza
POC,Microsoft Azure - Infra,visouza
POC,Microsoft Azure - Storage,visouza
POC,Microsoft Azure - Web & Mobile,visouza
POC,SQL Server,visouza
ROB,Not Applyable,fabsanc
Assessment Meeting,Not Applyable,fabioh
Metric Management,Not Applyable,cyzanon
POC,Microsoft Azure - Storage,visouza
POC,Microsoft Azure - Web & Mobile,visouza
Pilots,Microsoft Azure - Infra,visouza
Pilots,Microsoft Azure - Storage,visouza
Pilots,Microsoft Azure - Web & Mobile,visouza
Events - Organization,Not Applyable,cyzanon
Presentation,Microsoft Azure - Development Frameworks,visouza
Presentation,Visual Studio,visouza
Presentation,Visual Studio Team Services (VSTS),visouza
Presentation,Bot Framework,fabsanc
Presentation,Machine Learning,fabsanc
Presentation,Microsoft Azure - Active Directory,fabsanc
Presentation,Microsoft Azure - Web & Mobile,fabsanc
Presentation,Visual Studio,fabsanc
Presentation,Microsoft Azure - Analytics,fabsanc
Presentation,Microsoft Azure - Client-side Tech,fabsanc
Presentation,Microsoft Azure - Development Frameworks,fabsanc
Presentation,Microsoft Azure - Infra,fabsanc
Presentation,Microsoft Azure - IoT,fabsanc
Presentation,Microsoft Azure - Storage,fabsanc
POC,Microsoft Azure - Development Frameworks,altargin
POC,Microsoft Azure - Infra,altargin
POC,Microsoft Azure - Storage,altargin
POC,Microsoft Azure - Web & Mobile,altargin
ROB,Microsoft Azure - Active Directory,fabsanc
ROB,Microsoft Azure - Analytics,fabsanc
ROB,Microsoft Azure - Client-side Tech,fabsanc
ROB,Microsoft Azure - Development Frameworks,fabsanc
ROB,Microsoft Azure - Infra,fabsanc
ROB,Microsoft Azure - IoT,fabsanc
ROB,Microsoft Azure - Storage,fabsanc
ROB,Microsoft Azure - Web & Mobile,fabsanc
Meetups - Organization,Bot Framework,fabioh
Meetups - Organization,Cognitive Services,fabioh
Meetups - Organization,Enterprise Mobility Suite (EMS),fabioh
Meetups - Organization,Windows,fabioh
Meetups - Organization,Windows Server,fabioh
Meetups - Organization,Operations Management Suite (OMS),fabioh
Meetups - Organization,SQL Server,fabioh
Meetups - Organization,System Center,fabioh
Meetups - Organization,Universal Apps,fabioh
Meetups - Organization,Visual Studio,fabioh
Meetups - Organization,Visual Studio Team Services (VSTS),fabioh
Meetups - Organization,Microsoft Azure - Storage,fabioh
Meetups - Organization,Microsoft Azure - Web & Mobile,fabioh
Meetups - Organization,Microsoft Office (desktop version),fabioh
Meetups - Organization,Microsoft Project,fabioh
Meetups - Organization,Not Applyable,fabioh
Meetups - Organization,Office 365,fabioh
Meetups - Organization,Microsoft Azure - Active Directory,fabioh
Meetups - Organization,Microsoft Azure - Analytics,fabioh
Meetups - Organization,Microsoft Azure - Client-side Tech,fabioh
Meetups - Organization,Microsoft Azure - Development Frameworks,fabioh
Meetups - Organization,Microsoft Azure - Infra,fabioh
Meetups - Organization,Microsoft Azure - IoT,fabioh
Customer Engagements,Bot Framework,visouza
Customer Engagements,Cognitive Services,visouza
Customer Engagements,Machine Learning,visouza
Customer Engagements,Microsoft Azure - Active Directory,visouza
Customer Engagements,Microsoft Azure - Analytics,visouza
Customer Engagements,Microsoft Azure - Client-side Tech,visouza
Customer Engagements,Visual Studio Team Services (VSTS),visouza
Customer Engagements,Microsoft Azure - Development Frameworks,visouza
Customer Engagements,Microsoft Azure - Infra,visouza
Customer Engagements,Microsoft Azure - IoT,visouza
Customer Engagements,Microsoft Azure - Storage,visouza
Customer Engagements,Microsoft Azure - Web & Mobile,visouza
Customer Engagements,Visual Studio,visouza
POC,Microsoft Azure - Infra,fabsanc
POC,Microsoft Azure - Storage,fabsanc
POC,Microsoft Azure - Web & Mobile,fabsanc
Design Sessions,Bot Framework,fabsanc
Design Sessions,Cognitive Services,fabsanc
Design Sessions,Microsoft Azure - Active Directory,fabsanc
Design Sessions,Microsoft Azure - Analytics,fabsanc
Design Sessions,Microsoft Azure - Client-side Tech,fabsanc
Design Sessions,SQL Server,fabsanc
Design Sessions,Microsoft Azure - Development Frameworks,fabsanc
Design Sessions,Microsoft Azure - Infra,fabsanc
Design Sessions,Microsoft Azure - IoT,fabsanc
Design Sessions,Microsoft Azure - Storage,fabsanc
Design Sessions,Microsoft Azure - Web & Mobile,fabsanc
Design Sessions,Operations Management Suite (OMS),fabsanc
Coding - Internal Solution,Microsoft Azure - Web & Mobile,altargin
Coding - Internal Solution,Visual Studio,altargin
Coding - Internal Solution,Visual Studio Team Services (VSTS),altargin
Assessment Meeting,Not Applyable,cyzanon
Assessment Meeting,Not Applyable,cyzanon
Coding - Technical Material Preparation,Microsoft Azure - Active Directory,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Analytics,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Client-side Tech,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Development Frameworks,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Infra,fabioh
Coding - Technical Material Preparation,Microsoft Azure - IoT,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Storage,fabioh
Coding - Technical Material Preparation,Microsoft Azure - Web & Mobile,fabioh
Assessment Meeting,Not Applyable,cyzanon
Preparation Presentation,Microsoft Azure - Active Directory,altargin
